,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
1159,36061006300,15105.71544,16658.70832,20983.13804,25259.42416,24180.52696,24861.58189,22445.11018,27222.75116,26104.57212,27196.8045,27154.58797,24587.44501
1160,36061006400,16879.39946,16263.75142,19159.00152,22350.13488,20724.82733,22492.99087,20788.88624,23574.07321,23536.96118,23813.26966,24404.26775,24978.48924
1161,36061006500,20009.58092,21234.60535,26004.74613,30815.72124,29203.91526,30702.54371,28158.5041,33396.04756,31777.36912,34294.90624,34254.42753,31200.66293
1162,36061006600,8676.440056,10530.01027,11113.53864,12958.69556,11900.72958,12959.7909,12770.02248,14073.33773,14079.84664,14649.89576,15130.43365,15637.28776
1163,36061006700,16716.28045,17717.07221,20631.97597,23984.47008,22560.8972,23978.46619,22538.51236,25366.7616,24487.19049,26153.64425,26336.38765,25840.11827
1164,36061006800,16553.5914,15950.87196,18790.68067,21920.69419,20326.52503,22060.41444,20389.35606,23121.48306,23084.28713,23355.22743,23934.9613,24497.52146
1165,36061006900,20106.92342,20253.48706,23952.94815,26526.97333,24704.64211,25025.61635,23936.7692,27820.34466,25598.98163,27772.67832,29280.18038,29228.66054
1166,36061007000,8806.331106,10687.91999,11280.05809,13152.86124,12079.03223,13153.96349,12961.44347,14284.25626,14290.86601,14869.49871,15357.25697,15871.73085
1167,36061007100,16370.928,17351.09323,20205.61646,23488.76706,22094.59406,23482.87948,22072.77416,24842.33644,23981.04722,25612.93083,25791.93982,25306.31407
1168,36061007200,20098.22079,20711.28118,22081.85118,25757.34683,24017.99182,25828.42719,24673.46872,28153.24265,28150.68714,28344.39566,29664.54977,31097.94809
1169,36061007300,16400.89741,17382.80174,20242.40037,23531.45219,22134.71665,23525.58586,22112.99445,24887.43419,24024.59372,25659.48713,25838.84587,25352.53009
1170,36061007400,21690.29094,23822.32943,27066.77174,31206.10205,29556.17119,31888.41911,28919.90944,33137.6446,33565.05127,33855.6642,36395.43518,35814.23813
1171,36061007500,15192.89816,15304.60875,18097.9951,20043.49965,18667.16839,18909.30312,18085.57963,21016.61499,19339.01882,20984.16924,22123.11943,22084.87684
1172,36061007600,21719.1163,23852.64554,27101.58678,31247.03776,29596.83435,31929.35253,28955.93711,33179.73485,33608.56395,33900.31726,36444.69712,35862.68294
